slot_number,brand_id,month,content_pillar,topic,working_title,primary_service,primary_area,primary_keyword,supporting_keywords,format,platforms,offer_or_event,image_requirement,proof_requirement,claim_requirement,status,package_content_type
1,unlocked-pros,2026-08,commercial,Employee access changes,Commercial Rekeying After an Employee Access Change,Commercial rekeying,Pasadena,Pasadena commercial rekeying,commercial access planning Pasadena|property access documentation Pasadena,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de acceso de oficina y registro de autorizacion,verified_destination,none,approved,image
2,unlocked-pros,2026-08,commercial,Storefront warning signs,Three Storefront Lock Warning Signs for Business Operators,Storefront lock repair,Pasadena,Pasadena storefront lock repair,storefront lock maintenance Pasadena|storefront cylinder repair Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 de puerta comercial y fallas visibles,verified_destination,none,approved,video
3,unlocked-pros,2026-08,electronic,Electronic-lock compatibility,Electronic-Lock Compatibility Questions for a Commercial Door,Electronic locks and access control,Pasadena,commercial access planning Pasadena,commercial door hardware Pasadena|office lock repair Pasadena,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con cerradura electronica generica sin marcas,verified_destination,electronic_lock_service_confirmation,approved,reel
4,unlocked-pros,2026-08,property,Apartment turnover workflow,An Apartment-Turnover Rekeying Workflow for Property Teams,Property-management rekeying,Pasadena,apartment turnover rekeying Pasadena,property-management rekeying Pasadena|property access documentation Pasadena,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con vacancia autorizacion servicio y registro,verified_destination,none,approved,image
5,unlocked-pros,2026-08,commercial,Office lockout plan,Building an Office Lockout Response Plan Before It Is Needed,Commercial lockout assistance,Pasadena,office lockout Pasadena,commercial access planning Pasadena|property access documentation Pasadena,educational,website_blog,none,none,verified_destination,none,approved,blog
6,unlocked-pros,2026-08,commercial,Commercial door alignment,How Door Alignment Affects Commercial Lock Performance,Commercial door hardware,Pasadena,commercial door alignment Pasadena,commercial door hardware Pasadena|office lock repair Pasadena,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 de puerta comercial marco y cierre alineado,verified_destination,none,approved,reel
7,unlocked-pros,2026-08,property,Property access documentation,What a Property Access Authorization Record Should Capture,Property-management rekeying,Pasadena,property access documentation Pasadena,property-manager locksmith Pasadena|property-management rekeying Pasadena,local_market,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 con formulario anonimo y edificio multifamiliar,verified_destination,none,approved,image
8,unlocked-pros,2026-08,commercial,Office lock repair triage,Repair or Replace: Triage for an Office Lock Problem,Office lock repair,Pasadena,office lock repair Pasadena,commercial lock replacement Pasadena|commercial door hardware Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 comparando reparacion y reemplazo comercial,verified_destination,none,approved,video
9,unlocked-pros,2026-08,electronic,Electronic access documentation,What to Document Before Evaluating Electronic Access,Electronic locks and access control,Pasadena,commercial access planning Pasadena,property access documentation Pasadena|commercial door hardware Pasadena,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con plano de accesos sin credenciales reales,verified_destination,electronic_lock_service_confirmation,approved,reel
10,unlocked-pros,2026-08,property,Multi-unit maintenance,Four Lock-Maintenance Signals Across a Multi-Unit Property,Apartment-building lock service,Pasadena,multi-unit lock maintenance Pasadena,apartment-building lock service Pasadena|commercial door alignment Pasadena,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con cuatro puertas de areas comunes diferentes,verified_destination,none,approved,image
11,unlocked-pros,2026-08,commercial,Storefront lock maintenance,A Storefront Lock Maintenance Routine for Opening Teams,Storefront lock repair,Pasadena,storefront lock maintenance Pasadena,Pasadena storefront lock repair|storefront cylinder repair Pasadena,educational,website_blog,none,none,verified_destination,none,approved,blog
12,unlocked-pros,2026-08,property,Vendor authorization,How Property Managers Can Authorize Lock Work Clearly,Property-management rekeying,Pasadena,property-manager locksmith Pasadena,property access documentation Pasadena|property-management rekeying Pasadena,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con administrador proveedor y autorizacion documentada,verified_destination,none,approved,reel
13,unlocked-pros,2026-08,commercial,Commercial lock replacement triggers,When Commercial Lock Replacement Becomes the Better Option,Commercial lock replacement,Pasadena,commercial lock replacement Pasadena,office lock repair Pasadena|Pasadena storefront lock repair,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 con cerradura comercial desgastada y nueva,verified_destination,none,approved,image
14,unlocked-pros,2026-08,commercial,Master-key planning,Questions to Resolve Before Building a Master-Key Plan,Master-key systems,Pasadena,master-key planning Pasadena,commercial access planning Pasadena|property access documentation Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con diagrama de niveles sin mostrar llaves fisicas copiadas,verified_destination,none,approved,video
15,unlocked-pros,2026-08,electronic,Electronic lock door fit,Why Door Hardware Condition Matters Before Electronic-Lock Work,Electronic locks and access control,Pasadena,commercial door hardware Pasadena,commercial door alignment Pasadena|commercial access planning Pasadena,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con puerta comercial y cerradura electronica generica,verified_destination,electronic_lock_service_confirmation,approved,reel
16,unlocked-pros,2026-08,property,Common-area access turnover,A Common-Area Rekeying Checklist After Staff Turnover,Property-management rekeying,Pasadena,property-management rekeying Pasadena,apartment turnover rekeying Pasadena|property access documentation Pasadena,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con areas comunes roles y confirmaciones,verified_destination,none,approved,image
17,unlocked-pros,2026-08,residential,Multi-entry home rekeying,Which Doors Belong in a Multi-Entry Home Rekeying Scope,Home rekeying,Pasadena,home rekeying Pasadena commercial owner,residential lock repair Pasadena|property-management rekeying Pasadena,educational,website_blog,none,none,verified_destination,none,approved,blog
18,unlocked-pros,2026-08,automotive,Visitor vehicle lockout coordination,What Property Staff Should Know When a Visitor Is Locked Out of a Vehicle,Car lockout assistance,Pasadena,car lockout Pasadena business district,property access documentation Pasadena,local_market,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con visitante personal de propiedad y vehiculo cerrado sin llaves automotrices,verified_destination,none,approved,reel
19,unlocked-pros,2026-08,residential,Landlord home rekeying,Rekeying a Pasadena Rental Home From the Landlord's View,Home rekeying,Pasadena,home rekeying Pasadena commercial owner,property-management rekeying Pasadena|residential lock repair Pasadena,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de vivienda de alquiler y lista del propietario,verified_destination,none,approved,image
20,unlocked-pros,2026-08,trust,Door hardware inventory,A Commercial Door-Hardware Inventory Before Repairs Begin,Commercial door hardware,Pasadena,commercial door hardware Pasadena,commercial door alignment Pasadena|office lock repair Pasadena,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con inventario de herrajes por puerta,verified_destination,none,approved,video
21,unlocked-pros,2026-08,electronic,Access-control scope,Electronic Access FAQ: Door Hardware Network and User Scope,Electronic locks and access control,Pasadena,commercial access planning Pasadena,commercial door hardware Pasadena|property access documentation Pasadena,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con diagrama abstracto de puertas usuarios y sistema,verified_destination,electronic_lock_service_confirmation,approved,reel
22,unlocked-pros,2026-08,residential,Residential lock repair boundary,Residential Lock Repair as a Secondary Pasadena Service,Residential lock repair,Pasadena,residential lock repair Pasadena,commercial lock replacement Pasadena|home rekeying Pasadena commercial owner,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 diferenciando apoyo residencial de enfoque comercial,verified_destination,none,approved,image
23,unlocked-pros,2026-08,property,Apartment-building service planning,A Building-Wide Lock Service Plan by Door Type,Apartment-building lock service,Pasadena,apartment-building lock service Pasadena,multi-unit lock maintenance Pasadena|property-management rekeying Pasadena,service_spotlight,website_blog,none,none,verified_destination,none,approved,blog
24,unlocked-pros,2026-08,trust,Commercial service records,What a Useful Commercial Lock Service Record Should Include,Commercial lock repair,Pasadena,property access documentation Pasadena,office lock repair Pasadena|commercial access planning Pasadena,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con reporte anonimo fotos de puerta y acciones,verified_destination,none,approved,reel
25,unlocked-pros,2026-08,offer,Owner-approved property-manager promotion placeholder,Property Manager Promotion Slot Awaiting Approved Terms,Commercial rekeying,Pasadena,Pasadena commercial rekeying,commercial access planning Pasadena,approved_offer_slot,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,owner_approval_required,Imagen horizontal 1200x628 sin precio descuento fechas ni garantias,approved_offer,approved_offer_terms,approved,image
26,unlocked-pros,2026-08,automotive,Late-summer vehicle lockout safety,Late-Summer Vehicle Lockout Safety Near Pasadena Workplaces,Car lockout assistance,Pasadena,car lockout Pasadena business district,commercial access planning Pasadena,seasonal,instagram|facebook|tiktok|youtube|threads,seasonal,Video vertical 1080x1920 con vehiculo estacionado en zona comercial sin llaves fobs ni ignicion,verified_destination,none,approved,reel
