slot_number,brand_id,month,content_pillar,topic,working_title,primary_service,primary_area,primary_keyword,supporting_keywords,format,platforms,offer_or_event,image_requirement,proof_requirement,claim_requirement,status,package_content_type
1,daniels-locksmith,2026-08,residential,Move-in rekeying,The First Rekeying Review After Moving Into a Hollywood Home,New-home rekeying,Hollywood,move-in rekeying Hollywood,Hollywood lock rekeying|new-home rekeying Hollywood,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de vivienda en Hollywood y cerradura residencial,approved_profile,none,approved,image
2,daniels-locksmith,2026-08,residential,Lock cylinder replacement,When a Lock Cylinder Can Change Without Replacing the Full Lock,Residential lock repair,Hollywood,lock cylinder replacement Hollywood,lock repair versus replacement Hollywood|Hollywood lock rekeying,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 comparando cilindro y conjunto completo,approved_profile,none,approved,video
3,daniels-locksmith,2026-08,residential,Smart-lock compatibility,Four Compatibility Questions Before Choosing a Smart Lock,Smart-lock installation,Hollywood,smart-lock compatibility Hollywood,smart-lock installation Hollywood|deadbolt alignment Hollywood,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con puerta medidas y cerradura inteligente generica,approved_service,none,approved,reel
4,daniels-locksmith,2026-08,residential,Tenant-change rekeying,A Tenant-Change Rekeying Checklist for Hollywood Rentals,Tenant-change rekeying,Hollywood,tenant-change rekeying Hollywood,apartment rekeying Los Angeles|Hollywood lock rekeying,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con flujo propietario inquilino y autorizacion,approved_profile,none,approved,image
5,daniels-locksmith,2026-08,residential,Rekeying fundamentals,What Rekeying Changes Inside a Residential Lock,Home rekeying,Hollywood,Hollywood lock rekeying,move-in rekeying Hollywood|lock cylinder replacement Hollywood,educational,website_blog,none,none,approved_profile,none,approved,blog
6,daniels-locksmith,2026-08,residential,Broken-key extraction,A Broken Key in a Home Lock: What Not to Force,Broken-key extraction from residential locks,Hollywood,broken key extraction Hollywood,Hollywood residential lock repair|deadbolt repair Hollywood,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 de fragmento en cerradura residencial sin crear nueva llave,approved_profile,none,approved,reel
7,daniels-locksmith,2026-08,residential,Deadbolt alignment,Why a Hollywood Deadbolt May Stop Lining Up Cleanly,Deadbolt installation and repair,Hollywood,deadbolt alignment Hollywood,deadbolt repair Hollywood|Los Angeles residential lock repair,local_market,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de cerrojo marco y placa de cierre,approved_profile,none,approved,image
8,daniels-locksmith,2026-08,residential,Apartment lockout preparation,What Hollywood Renters Should Prepare During an Apartment Lockout,House and apartment lockout assistance,Hollywood,apartment lockout Hollywood,home lockout Hollywood|owner-operated locksmith Hollywood,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con inquilino seguro e identificacion anonima,approved_profile,none,approved,video
9,daniels-locksmith,2026-08,residential,Rekeying access changes,Rekeying After Household Access Changes in Hollywood,Home rekeying,Hollywood,Hollywood lock rekeying,tenant-change rekeying Hollywood|move-in rekeying Hollywood,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con propietario revisando lista de acceso,approved_profile,none,approved,reel
10,daniels-locksmith,2026-08,residential,Repair versus replacement,Lock Repair or Replacement: A Component-by-Component Check,Residential lock repair,Hollywood,lock repair versus replacement Hollywood,residential lock replacement Hollywood|lock cylinder replacement Hollywood,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con cilindro pestillo cerrojo y marco,approved_profile,none,approved,image
11,daniels-locksmith,2026-08,residential,Apartment rekeying coordination,How Landlords Can Coordinate an Authorized Apartment Rekey,Home rekeying,Los Angeles,apartment rekeying Los Angeles,tenant-change rekeying Hollywood|Hollywood lock rekeying,educational,website_blog,none,none,approved_locations,none,approved,blog
12,daniels-locksmith,2026-08,residential,Home lockout expectations,Home Lockout FAQ From an Owner-Operated Service Perspective,House and apartment lockout assistance,Hollywood,home lockout Hollywood,apartment lockout Hollywood|owner-operated locksmith Hollywood,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con tecnico propietario explicando proceso sin garantias,approved_profile,none,approved,reel
13,daniels-locksmith,2026-08,residential,Early lock-wear signs,Three Small Lock Problems Worth Addressing Early,Residential lock repair,Hollywood,Los Angeles residential lock repair,deadbolt repair Hollywood|lock cylinder replacement Hollywood,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 con desgaste visible de cerradura residencial,approved_profile,none,approved,image
14,daniels-locksmith,2026-08,residential,Smart-lock installation planning,How Door Fit Affects Smart-Lock Installation,Smart-lock installation,Hollywood,smart-lock installation Hollywood,smart-lock compatibility Hollywood|deadbolt alignment Hollywood,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 mostrando medicion de puerta y alineacion,approved_service,none,approved,video
15,daniels-locksmith,2026-08,commercial,Small-business lock repair,Lock Repair Questions for a Hollywood Small Business,Commercial lock repair,Hollywood,commercial lock repair Hollywood,commercial rekeying Hollywood|owner-operated locksmith Hollywood,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 en pequena oficina con acceso autorizado,approved_profile,none,approved,reel
16,daniels-locksmith,2026-08,residential,New-home access inventory,A Move-In Access Inventory Before Rekeying,New-home rekeying,Hollywood,new-home rekeying Hollywood,move-in rekeying Hollywood|Hollywood lock rekeying,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con puertas zonas y responsables sin copias de llaves,approved_profile,none,approved,image
17,daniels-locksmith,2026-08,residential,Residential lock replacement,When Full Residential Lock Replacement Makes Sense,Residential lock replacement,Hollywood,residential lock replacement Hollywood,lock repair versus replacement Hollywood|Los Angeles residential lock repair,educational,website_blog,none,none,approved_profile,none,approved,blog
18,daniels-locksmith,2026-08,residential,Deadbolt repair diagnosis,Deadbolt Repair Questions Before Replacing Hardware,Deadbolt installation and repair,Hollywood,deadbolt repair Hollywood,deadbolt alignment Hollywood|lock repair versus replacement Hollywood,local_market,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con inspeccion de cerrojo sin promesas tecnicas,approved_profile,none,approved,reel
19,daniels-locksmith,2026-08,residential,Lock maintenance signals,What a Rough-Turning Home Lock May Be Telling You,Residential lock repair,Hollywood,Los Angeles residential lock repair,deadbolt alignment Hollywood|lock cylinder replacement Hollywood,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de mano usando cerradura sin forzarla,approved_profile,none,approved,image
20,daniels-locksmith,2026-08,trust,Owner-operated communication,What Owner-Operated Locksmith Communication Should Sound Like,Home rekeying,Hollywood,owner-operated locksmith Hollywood,Hollywood lock rekeying|Los Angeles residential lock repair,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 con consulta clara y notas de servicio,approved_profile,none,approved,video
21,daniels-locksmith,2026-08,residential,Residential lockout authorization,Apartment Lockout FAQ: Who Can Authorize Entry,House and apartment lockout assistance,Hollywood,apartment lockout Hollywood,home lockout Hollywood|owner-operated locksmith Hollywood,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con autorizacion y privacidad visual,approved_profile,none,approved,reel
22,daniels-locksmith,2026-08,commercial,Commercial rekey planning,A Hollywood Office Rekeying Plan After Access Changes,Commercial rekeying,Hollywood,commercial rekeying Hollywood,commercial lock repair Hollywood|owner-operated locksmith Hollywood,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con roles puertas y autorizaciones de oficina,approved_profile,none,approved,image
23,daniels-locksmith,2026-08,residential,Rekeying scope,Which Residential Doors Belong in One Rekeying Plan,Home rekeying,Hollywood,Hollywood lock rekeying,new-home rekeying Hollywood|tenant-change rekeying Hollywood,service_spotlight,website_blog,none,none,approved_profile,none,approved,blog
24,daniels-locksmith,2026-08,trust,Service documentation,Why Clear Notes Matter During Lock Repair and Rekeying,Residential lock repair,Hollywood,owner-operated locksmith Hollywood,Los Angeles residential lock repair|Hollywood lock rekeying,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con orden de trabajo anonima y cerradura residencial,approved_profile,none,approved,reel
25,daniels-locksmith,2026-08,automotive,Owner-approved car lockout offer placeholder,Hollywood Car Lockout Offer Pending Owner Terms,Car lockout assistance,Hollywood,car lockout Hollywood,owner-operated locksmith Hollywood,approved_offer_slot,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,owner_approval_required,Imagen horizontal 1200x628 con vehiculo cerrado sin llaves fobs precios ni descuentos,approved_offer,approved_offer_terms,approved,image
26,daniels-locksmith,2026-08,seasonal,Summer door-use inspection,A Late-Summer Door and Deadbolt Inspection for Hollywood Homes,Deadbolt installation and repair,Hollywood,deadbolt repair Hollywood,deadbolt alignment Hollywood|Los Angeles residential lock repair,seasonal,instagram|facebook|tiktok|youtube|threads,seasonal,Video vertical 1080x1920 con inspeccion estacional conectada a servicio real,approved_profile,none,approved,reel
