slot_number,brand_id,month,content_pillar,topic,working_title,primary_service,primary_area,primary_keyword,supporting_keywords,format,platforms,offer_or_event,image_requirement,proof_requirement,claim_requirement,status,package_content_type
1,724-locksmith-ca,2026-08,residential,Move-in rekeying,Rekeying After a Move in North Hollywood,Home rekeying,North Hollywood,North Hollywood lock rekeying,apartment rekeying North Hollywood|North Hollywood residential lock repair,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de nueva vivienda y cerradura sin llaves de automovil,approved_profile,none,approved,image
2,724-locksmith-ca,2026-08,commercial,Storefront opening checks,A Burbank Storefront Lock Check Before Opening,Storefront lock repair,Burbank,Burbank storefront lock repair,storefront cylinder replacement Burbank|commercial door hardware North Hollywood,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 de acceso comercial y herrajes visibles,approved_profile,none,approved,video
3,724-locksmith-ca,2026-08,residential,Deadbolt repair decisions,Deadbolt Repair or Replacement for an Encino Home,Deadbolt installation and repair,Encino,Encino deadbolt repair,North Hollywood residential lock repair|North Hollywood lock rekeying,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 comparando reparacion y reemplazo de cerrojo,approved_profile,none,approved,reel
4,724-locksmith-ca,2026-08,residential,Apartment lockout preparation,A Valley Village Apartment Lockout Preparation List,Apartment lockout assistance,Valley Village,Valley Village apartment lock repair,North Hollywood house lockout|apartment rekeying North Hollywood,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con pasos para inquilinos y autorizacion,approved_profile,none,approved,image
5,724-locksmith-ca,2026-08,commercial,Office lockout readiness,What an Office Manager Should Prepare Before Lockout Assistance,Commercial lockout assistance,Burbank,Burbank office lockout,office lock maintenance Studio City|Studio City commercial rekeying,educational,website_blog,none,none,approved_profile,none,approved,blog
6,724-locksmith-ca,2026-08,residential,Lock cylinder maintenance,When a Residential Lock Cylinder Needs Attention,Residential lock repair,North Hollywood,North Hollywood residential lock repair,North Hollywood lock rekeying|Encino deadbolt repair,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con cilindro residencial sin tecnicas de manipulacion,approved_profile,none,approved,reel
7,724-locksmith-ca,2026-08,residential,Smart-lock planning,Questions Before Installing a Smart Lock in North Hollywood,Smart-lock installation,North Hollywood,smart-lock installation North Hollywood,North Hollywood residential lock repair|Encino deadbolt repair,local_market,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 con cerradura inteligente generica y puerta completa,approved_service,none,approved,image
8,724-locksmith-ca,2026-08,commercial,Commercial door hardware warnings,Three Warning Signs in Commercial Door Hardware,Commercial door hardware,North Hollywood,commercial door hardware North Hollywood,Burbank storefront lock repair|office lock maintenance Studio City,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 de bisagras marco y cerradura comercial,approved_profile,none,approved,video
9,724-locksmith-ca,2026-08,residential,Rekeying after access changes,When Household Access Changes Call for Rekeying,Home rekeying,Valley Glen,Valley Glen home rekeying,North Hollywood lock rekeying|apartment rekeying North Hollywood,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con familia revisando acceso residencial,approved_profile,none,approved,reel
10,724-locksmith-ca,2026-08,residential,Lock repair warning signs,Four Signs a North Hollywood Home Lock Needs Repair,Residential lock repair,North Hollywood,North Hollywood residential lock repair,Encino deadbolt repair|North Hollywood house lockout,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con cuatro fallas visibles sin tecnicas de bypass,approved_profile,none,approved,image
